provisi,Negara,Tanggal,kasus,kematian,pulih,terjangkit
,Indonesia,2022-04-11,6033903,155674,,
,Indonesia,2020-08-21,149408,6500,102991,39917
,Indonesia,2020-03-14,96,5,8,
,Indonesia,2021-02-13,1210703,32936,1016036,161731
,Indonesia,2020-12-20,664930,19880,541811,103239
,Indonesia,2021-12-16,4259857,143979,,
,Indonesia,2022-10-27,6481749,158522,,
,Indonesia,2021-11-08,4248409,143557,,
,Indonesia,2021-03-21,1460184,39550,1290790,129844
,Indonesia,2022-07-27,6185311,156940,,
,Indonesia,2021-11-25,4254815,143782,,
,Indonesia,2022-02-23,5350902,147025,,
,Indonesia,2022-10-01,6433263,158122,,
,Indonesia,2021-08-08,3666031,107096,,
,Indonesia,2020-09-09,203342,8336,145200,49806
,Indonesia,2022-04-14,6037742,155794,,
,Indonesia,2020-11-17,474455,15393,398636,60426
,Indonesia,2020-10-02,295499,10972,221340,63187
,Indonesia,2022-06-30,6088460,156737,,
,Indonesia,2020-05-10,14032,973,2698,10361
,Indonesia,2020-11-29,534266,16815,445793,71658
,Indonesia,2021-03-19,1450132,39339,1278965,131828
,Indonesia,2021-10-01,4216728,142026,,
,Indonesia,2022-06-03,6056017,156604,,
,Indonesia,2022-11-08,6531721,158909,,
,Indonesia,2020-06-24,49009,2573,19658,26778
,Indonesia,2022-01-11,4267451,144144,,
,Indonesia,2021-04-05,1537967,41815,1381677,114475
,Indonesia,2022-09-11,6392492,157770,,
,Indonesia,2020-08-24,155412,6759,111060,37593
,Indonesia,2022-08-31,6358808,157566,,
,Indonesia,2020-09-29,282724,10601,210437,61686
,Indonesia,2022-04-01,6015748,155164,,
,Indonesia,2022-02-27,5539394,148073,,
,Indonesia,2022-11-14,6565912,159158,,
,Indonesia,2020-05-29,25216,1520,6492,17204
,Indonesia,2020-07-29,104432,4975,62138,37319
,Indonesia,2021-04-12,1571824,42656,1419796,109372
,Indonesia,2021-08-29,4073831,131923,,
,Indonesia,2022-02-28,5564448,148335,,
,Indonesia,2021-05-29,1809926,50262,1659974,99690
,Indonesia,2022-11-30,6664844,159830,,
,Indonesia,2020-03-29,1285,114,64,1107
,Indonesia,2022-11-07,6525120,158871,,
,Indonesia,2021-01-05,779548,23109,645746,110693
,Indonesia,2020-11-03,418375,14146,349497,54732
,Indonesia,2022-05-17,6051205,156481,,
,Indonesia,2021-07-02,2228938,59534,1901865,267539
,Indonesia,2022-11-24,6634648,159565,,
,Indonesia,2021-08-19,3930300,122633,,
,Indonesia,2020-11-12,452291,14933,382084,55274
,Indonesia,2021-02-02,1099687,30581,896530,172576
,Indonesia,2021-09-05,4129020,135861,,
,Indonesia,2022-08-24,6329143,157438,,
,Indonesia,2020-07-10,72347,3469,33529,35349
,Indonesia,2021-11-19,4252705,143714,,
,Indonesia,2022-08-07,6244978,157095,,
,Indonesia,2021-12-22,4261072,144034,,
,Indonesia,2021-10-02,4218142,142115,,
,Indonesia,2020-09-10,207203,8456,147510,51237
,Indonesia,2021-09-22,4198678,140954,,
,Indonesia,2022-10-15,6455542,158301,,
,Indonesia,2020-12-09,592900,18171,487445,87284
,Indonesia,2022-11-21,6612673,159422,,
,Indonesia,2021-09-28,4211460,141709,,
,Indonesia,2020-09-19,240687,9448,174350,56889
,Indonesia,2022-05-08,6048431,156381,,
,Indonesia,2022-05-20,6052100,156513,,
,Indonesia,2020-06-19,43803,2373,17349,24081
,Indonesia,2021-03-05,1368069,37026,1182687,148356
,Indonesia,2020-04-25,8607,720,1042,6845
,Indonesia,2022-02-11,4708043,144958,,
,Indonesia,2020-08-27,162884,7064,118575,37245
,Indonesia,2021-05-21,1758898,48887,1621572,88439
,Indonesia,2021-10-16,4234011,142933,,
,Indonesia,2022-08-06,6240699,157082,,
,Indonesia,2020-11-07,433836,14540,364417,54879
,Indonesia,2020-05-14,16006,1043,3518,11445
,Indonesia,2022-09-27,6425849,158057,,
,Indonesia,2022-09-13,6397236,157807,,
,Indonesia,2021-02-25,1314634,35518,1121411,157705
,Indonesia,2021-12-03,4257243,143858,,
,Indonesia,2022-08-05,6235244,157072,,
,Indonesia,2021-05-09,1713684,47012,1568277,98395
,Indonesia,2020-11-14,463007,15148,388094,59765
,Indonesia,2022-04-13,6036909,155746,,
,Indonesia,2022-05-21,6052363,156519,,
,Indonesia,2021-04-15,1589359,43073,1438254,108032
,Indonesia,2021-02-27,1329074,35981,1136054,157039
,Indonesia,2020-07-25,97286,4714,55354,37218
,Indonesia,2021-01-19,927380,26590,753948,146842
,Indonesia,2020-12-29,727122,21703,596783,108636
,Indonesia,2021-05-23,1775220,49328,1633045,92847
,Indonesia,2021-08-05,3568331,102375,,
,Indonesia,2021-09-13,4170088,139165,,
,Indonesia,2020-06-16,40400,2231,15703,22466
,Indonesia,2022-01-17,4272421,144174,,
,Indonesia,2021-02-10,1183555,32167,982972,168416
